id lens
3 2034;2690;3538;3040;2542;3538;3488;3538;3080;4036;3538;3171;3538;3538;3538;3488;3080;2542;3040;3538;3040;3488;2542;3171;3538;3538;3538;3488;3538;3578;2542;3538;4036;3986;4036;3538;4100;3488;3268;3538;3538;3538;4036;2678;3057;3538;4534;3538;3986;3538;4036;4036;3488;3538;3538;3538;3538;3538;3538;3538;3538;3538;3488;4036;4100;3538;3538;3538;3488;3538;3538;4036;2990;2542;3538;3538;3538;3488;4036;3538;3538;3538;4036;2990;4036;3538;3538;3538;2990;3538;4036;4100;3538;4036;3538;4100;3538;3538;3538;3538;4036;3538;3538;3488;3538;3538;3538;3538;3538;3538;3488;3538;3538;3040;4100;3538;3538;2542;3538;3538;3538;3538;4036;4100;3538;3040;3538;3488;3538;2542;3538;3488;3538;3538;3538;3171;3538;3538;4036;3488;3538;3040
3 2008;3057;4036;3538;3538;3488;4100;3538;4036;3488;3693;7522;3538;3538;4100;3424;4100;2976;3488;4036;4036;3057;4100;17866;3538;4100;2926;4036;3538;4100;3488;4036;3040;3188;13946;3538;2542;3538;3538;2990;4036;3538;3538;2990;3538;4036;3538;4100;3538;4036;3541;3538;2542;3538;3040;4100;3538;4100;2690;3538;20918;3538;3488;3538;3538;3538;4100;3424;2564;3538;4036;3538;3538;4100;3538;4100;3474;4100;3538;3538;3538;3538;8020;4988;3057;3538;3538;3538;3538;3538;3538;3488;3538;3538;3538;2542;3538;3538;3488;3538;3538;2542;3538;3538;2542;3538;3488;3486;3057;4100;3538;3040;3488;3538;4036;3538;3488;3538;2542;3538;3538;4036;3538;3040;3538;3538;3040;3538;3488;3538;3040
3 2000;3538;4100;2976;3538;3986;4100;3538;4036;3258;3538;3538;10958;3538;3538;3538;4100;3538;3040;3538;3538;3538;3538;3986;3538;3538;4100;3424;3538;3538;4036;3488;3538;3538;3538;3538;3538;3538;3488;3538;3538;3538;3538;3488;3538;3538;3538;3488;3538;3538;3538;3986;3538;4036;3538;3538;3538;3538;3538;3538;3538;3538;3538;3538;3488;3538;3538;3538;3488;4036;3538;3538;3488;3538;4036;3538;3538;3538;3538;3488;3538;3538;3538;3488;3538;3538;3538;3488;4036;4534;3538;3538;3538;3538;3538;3057;3538;8518;3488;4036;3538;3084;10510;3538;3986;4036;3538;4036;3986;3040;3538;4036;4036;3538;3057;7522;3538;3538;3040;3538;4036;3538;3538;3538;4036;3488;4036;3538;3538;3538;3538;4036;3488;4100;3538
3 2000;3057;3538;22910;3986;2678;3538;3538;3538;3488;4036;3040;3538;3986;3538;4036;3057;4036;19922;3538;2990;4100;3538;4100;3488;3538;4036;3057;3538;12452;3057;3538;20420;3538;3986;4036;4100;3538;3986;3040;3538;3057;3538;20420;11008;3538;3488;4100;3474;3538;4100;3538;4036;4100;3538;4036;3057;3538;3538;4036;3488;4036;4036;4100;3488;4036;4036;4100;3488;4036;3538;4036;3057;3538;5032;3538;4100;2976;3538;3488;3538;3538;2550;3057;3538;30828;3538;3538;4036;3986;3057;3538;32820;3538;4036;3986;4100;4100;3133;3057;4036;11954;3538;3094
3 2012;3057;3538;7522;3488;3538;4036;3538;4100;2926;3057;3538;3538;3538;3488;4100;3972;3538;3040;3488;4036;3538;4036;3538;3538;3986;4036;3538;3040;3986;3538;4036;3538;4100;3538;3367;3538;3538;3538;4036;3488;3538;3538;3538;3538;3488;4036;4100;3538;3538;4036;3538;4036;3538;4100;3538;3538;3538;4036;3986;4036;4100;3538;3538;3538;3538;3488;4036;3538;3538;3986;4036;3538;4100;3488;3538;3538;3057;3538;3538;3538;4100;3538;3538;4036;3488;3538;2542;3538;4100;3538;4100;7458;3057;3538;4036;3538;2542;3538;3538;3986;3538;3030;3057;3538;3538;4036;3986;3538;4036;3538;4100;3538;4100;3474;3986;3538;3057;3538;3538;3538;4100;3538;4036;2542;3488;4100;2976;4100;3986;3538;3040;4100;3124;2690;3538;3538;3538;4100;3424;3538
3 2020;3057;3538;3538;4036;3488;4100;3474;3538;3488;3057;3538;10460;3538;4100;3474;4036;4100;3538;2811;3538;3538;3538;3538;3488;3538;3538;3040;3488;3538;3538;3538;3538;3538;3538;3538;3538;4100;4036;2990;3538;4036;3538;3538;3986;3538;3538;4036;3488;3538;4100;3538;3488;4036;3538;3061;3057;3538;16934;3538;3057;4036;13448;3538;4036;4036;4100;3538;3040;3040;3488;3538;3538;3057;3538;18428;3538;3488;3538;3538;4036;4036;3488;3538;3538;4100;3057;3538;5344;2690;3538;15440;3538;2953;7024;3538;3538;4100;4100;3538;3538;3488;3538;4036;4036;4100;2926;7024;4036;3538;3488;4036;4036;3538;3986;4100;3474;3040;3538;3538;3538;3040;2698;7024;3538;3538;3488;4036;3103
3 2018;3057;3538;3040;3538;3488;4100;3538;4100;3424;3747;3538;3538;3538;3538;3488;4100;3538;4036;3488;4036;4100;3538;3538;3538;3538;3488;3538;4100;3538;3488;3538;3538;3538;3488;4100;3538;3057;3538;3538;4036;3986;3538;3538;3538;4036;2990;3538;3538;3538;3488;3538;4036;3538;4036;3538;3538;3538;3538;3538;3538;3986;4036;3538;3538;3538;3538;4036;3986;4100;3474;3538;3488;4036;4036;4036;3538;3538;3538;3538;4036;3538;4036;3986;3040;4100;3538;3488;4036;4036;2542;3538;3986;3538;3538;4036;3538;3538;3538;3538;4036;3538;4036;3488;3538;4100;2559;3057;3538;3538;4036;3488;3538;3538;4036;3488;3538;4036;3538;3488;3538;3057;3538;3538;4100;3488;3538;3538;3538;3488;4036;3538;4100;3488;4036;4036;3538;3538;4036;4036;3488;3538;3538
3 2024;3057;2542;3538;2542;3538;3986;4036;3538;3040;3488;4036;3057;3538;3040;3538;4100;3538;3538;4036;3538;4036;3538;3538;4036;3538;3488;3538;4036;3538;3488;4036;4036;3538;3986;4036;4100;3538;3538;4036;4036;4077;3057;3538;3538;3538;3488;3538;2542;3538;4036;3488;3538;4036;4036;4100;3538;4100;2526;2690;3538;3538;4036;3488;4036;3525;2559;3040;3040;4036;3986;3538;3538;4036;3538;4036;4100;2542;3488;3538;3646;2690;5032;3538;4036;3538;3578;3538;4100;3538;4100;3538;2542;3488;4036;3040;3538;3538;2542;3538;3057;3538;4534;4100;3424;3538;4100;3538;3538;3538;3538;3488;3538;3538;3040;3488;3538;4036;4100;3488;3538;2542;3538;3538;3538;3986;3538;3538;3538;3488;4036;3538;4036;4100;3424;4100;3040;4100;2542;3538;3986;4100;3040
3 2032;3538;3538;4036;3538;4100;3538;4036;4036;2769;3538;3538;3538;3538;3488;3538;3040;3538;2990;3538;2542;3538;3538;3538;3538;3488;3538;3538;3040;3488;3538;3538;3538;3488;3538;3538;3057;3538;3538;4100;3072;3538;3538;4036;3538;3488;3538;3538;3040;3488;3538;3538;3538;3488;3538;3538;2608;3538;3538;3538;3538;3488;4036;3040;3057;3538;8020;3488;4036;3538;3538;3986;3040;4100;3474;2542;3488;4036;3130;3538;3538;3538;3986;4036;3538;4036;4036;3488;3538;4100;3488;2542;3538;3538;3538;3440;3538;3538;3538;4534;4100;4036;3488;3538;3538;3538;4036;3538;4036;3986;3538;4100;3972;2990;3538;4036;3538;3538;3488;3057;4100;8454;3488;3538;4100;3474;3986;4100;3040;3538;3986;3538;3538;3538;11008;4036;3488;3538;4100
3 2018;3057;3538;3538;3538;3488;3538;3538;3538;3488;3040;3538;3538;4036;3538;3986;3538;3538;3538;3986;3040;3538;3538;3538;3538;3538;3488;4036;3538;3040;3538;3538;3538;4036;3538;3488;3538;3538;3538;6028;3488;2686;3057;3538;3538;3538;3986;4036;3538;4036;3538;3538;4036;3488;3538;3538;3538;3538;4036;3538;3488;4100;2650;3538;3538;3538;3538;3488;4036;3538;3538;3488;3538;3538;4036;3986;3538;3538;3538;3538;3538;3538;4100;2542;3538;3538;3488;3538;3538;4036;3986;4100;3040;3538;2542;2950;3538;3538;3538;3538;3538;3538;3538;4100;3538;4100;2976;3538;3538;11456;4036;3538;4036;3986;3538;3538;3538;3488;3538;3538;3538;3538;4100;3538;4036;4036;3488;3538;3538;3538;3488;3538;4036;3538;3538;3538;3538;3538;3986;3538;3040
